kT  U_n0  U_n1  U_n2  U_n3  U_n4  U_n5
1.280000000000000027e+00 2.859794049061589405e+00 2.789926384696820971e+00 2.669548380408130583e+00 2.247511553956346830e+00 1.942860588078306083e+00 1.582629779100440226e+00
1.290000000000000036e+00 2.866116747763947981e+00 2.795405518355469798e+00 2.674433875549210526e+00 2.252459047473621023e+00 1.948452635536255473e+00 1.589083657733197708e+00
1.300000000000000044e+00 2.872480398620002262e+00 2.800934679766272417e+00 2.679377070849662257e+00 2.257462372982719678e+00 1.954091776906173639e+00 1.595576076998913795e+00
1.310000000000000053e+00 2.878884744811777807e+00 2.806513502854166120e+00 2.684377467176601417e+00 2.262521120539392694e+00 1.959777788486237293e+00 1.602106916784335144e+00
1.320000000000000062e+00 2.885329517217848139e+00 2.812141610441638573e+00 2.689434557871700715e+00 2.267634870376487477e+00 1.965510432577408872e+00 1.608676043451779947e+00
1.330000000000000071e+00 2.891814435072113554e+00 2.817818614932285470e+00 2.694547829311429332e+00 2.272803193511289788e+00 1.971289458174601883e+00 1.615283310377148673e+00
1.340000000000000080e+00 2.898339206602079443e+00 2.823544118969361527e+00 2.699716761446687485e+00 2.278025652331176154e+00 1.977114601635426405e+00 1.621928558476968041e+00
1.350000000000000089e+00 2.904903529646895244e+00 2.829317716070022914e+00 2.704940828322404567e+00 2.283301801158203581e+00 1.982985587327044330e+00 1.628611616724263023e+00
1.360000000000000098e+00 2.911507092255543494e+00 2.835138991235978789e+00 2.710219498577683517e+00 2.288631186793238292e+00 1.988902128251677670e+00 1.635332302653099035e+00
1.370000000000000107e+00 2.918149573265474750e+00 2.841007521541247804e+00 2.715552235927046976e+00 2.294013349040236349e+00 1.994863926651261110e+00 1.642090422851674836e+00
1.380000000000000115e+00 2.924830642862103591e+00 2.846922876697697280e+00 2.720938499623314133e+00 2.299447821211253906e+00 2.000870674591815668e+00 1.648885773443893310e+00
1.390000000000000124e+00 2.931549963119507662e+00 2.852884619599046268e+00 2.726377744902692246e+00 2.304934130612769305e+00 2.006922054528020638e+00 1.655718140559359952e+00
1.400000000000000133e+00 2.938307188522738311e+00 2.858892306843980879e+00 2.731869423412566000e+00 2.310471799013884109e+00 2.013017739848530052e+00 1.662587300791809941e+00
1.410000000000000142e+00 2.945101966472138511e+00 2.864945489239023146e+00 2.737412983622541152e+00 2.316060343096932428e+00 2.019157395402540356e+00 1.669493021645966913e+00
1.419999999999999929e+00 2.951933937770055305e+00 2.871043712281798665e+00 2.743007871219226956e+00 2.321699274891071418e+00 2.025340678008119788e+00 1.676435061972888496e+00
1.429999999999999938e+00 2.958802737090375334e+00 2.877186516625299451e+00 2.748653529485267644e+00 2.327388102189349883e+00 2.031567236942796395e+00 1.683413172393855461e+00
1.439999999999999947e+00 2.965707993431266676e+00 2.883373438523743726e+00 2.754349399663106546e+00 2.333126328949775452e+00 2.037836714416904726e+00 1.690427095712884853e+00
1.449999999999999956e+00 2.972649330551567548e+00 2.889604010260637068e+00 2.760094921303958504e+00 2.338913455680892373e+00 2.044148746030170827e+00 1.697476567317985685e+00
1.459999999999999964e+00 2.979626367391199793e+00 2.895877760559583791e+00 2.765889532602448408e+00 2.344748979812337542e+00 2.050502961212024466e+00 1.704561315571254676e+00
1.469999999999999973e+00 2.986638718476044119e+00 2.902194214978421893e+00 2.771732670717385716e+00 2.350632396050860162e+00 2.056898983646088919e+00 1.711681062187955682e+00
1.479999999999999982e+00 2.993685994307659470e+00 2.908552896287206035e+00 2.777623772079094611e+00 2.356563196722271769e+00 2.063336431679332783e+00 1.718835522604724719e+00
1.489999999999999991e+00 3.000767801738283058e+00 2.914953324830592329e+00 2.783562272683744787e+00 2.362540872099762712e+00 2.069814918716311070e+00 1.726024406337047123e+00
1.500000000000000000e+00 3.007883744331472542e+00 2.921395018875112104e+00 2.789547608375100740e+00 2.368564910719028749e+00 2.076334053598947182e+00 1.733247417326176709e+00
1.510000000000000009e+00 3.015033422708814470e+00 2.927877494941852454e+00 2.795579215114098126e+00 2.374634799680643393e+00 2.082893440972288790e+00 1.740504254275663243e+00
1.520000000000000018e+00 3.022216434883084002e+00 2.934400268125017863e+00 2.801656529236631776e+00 2.380750024940065046e+00 2.089492681636655025e+00 1.747794610977666974e+00
1.530000000000000027e+00 3.029432376578241382e+00 2.940962852396861393e+00 2.807778987699968809e+00 2.386910071585702120e+00 2.096131372886586242e+00 1.755118176629236082e+00
1.540000000000000036e+00 3.036680841536636866e+00 2.947564760899425540e+00 2.813946028318135895e+00 2.393114424105429627e+00 2.102809108836998675e+00 1.762474636138743112e+00
1.550000000000000044e+00 3.043961421813822010e+00 2.954205506223544830e+00 2.820157089986663923e+00 2.399362566641901839e+00 2.109525480736937908e+00 1.769863670422659574e+00
1.560000000000000053e+00 3.051273708061294165e+00 2.960884600675558254e+00 2.826411612897041348e+00 2.405653983237074467e+00 2.116280077271309068e+00 1.777284956692868789e+00
1.570000000000000062e+00 3.058617289797598726e+00 2.967601556532125429e+00 2.832709038741215046e+00 2.411988158066262766e+00 2.123072484850959007e+00 1.784738168734710362e+00
1.580000000000000071e+00 3.065991755668065366e+00 2.974355886283572836e+00 2.839048810906489972e+00 2.418364575662087734e+00 2.129902287891472845e+00 1.792222977175945919e+00
