kT  z1_n0  z1_n1  z1_n2  z1_n3  z1_n4  z1_n5
7.000000000000000666e-01 4.179064050909410410e-02 4.708343788734381530e-02 5.633896698125209074e-02 1.017189926681910522e-01 1.538374891901813646e-01 2.481034911212322835e-01
7.100000000000000755e-01 4.400160655338176963e-02 4.957159292365663494e-02 5.923755178822933537e-02 1.060239746156465546e-01 1.591746908074437583e-01 2.545257716169866957e-01
7.199999999999999734e-01 4.626720712876116609e-02 5.211958395174522141e-02 6.220025589260615856e-02 1.103879834051903763e-01 1.645522750918315402e-01 2.609531876333457956e-01
7.299999999999999822e-01 4.858663971104556362e-02 5.472637232809269420e-02 6.522568478462933972e-02 1.148087872722562963e-01 1.699679847313252945e-01 2.673843296930896729e-01
7.399999999999999911e-01 5.095908305904740115e-02 5.739090141162226516e-02 6.831243536670827954e-02 1.192842029682727872e-01 1.754196462415310298e-01 2.738178728973847953e-01
7.500000000000000000e-01 5.338370020194395382e-02 6.011210022262244296e-02 7.145910001242712639e-02 1.238120976171119686e-01 1.809051686512258561e-01 2.802525730165732476e-01
7.600000000000000089e-01 5.585964122942096294e-02 6.288888683836069138e-02 7.466427027849034670e-02 1.283903902019883081e-01 1.864225420266134026e-01 2.866872627297344933e-01
7.700000000000000178e-01 5.838604589122976113e-02 6.572017153546351464e-02 7.792654028746205663e-02 1.330170527173237527e-01 1.919698358593353027e-01 2.931208480088850488e-01
7.800000000000000266e-01 6.096204601322972177e-02 6.860485968965104875e-02 8.124450979923174276e-02 1.376901110177874976e-01 1.975451973408482165e-01 2.995523046437119641e-01
7.900000000000000355e-01 6.358676773730181919e-02 7.154185444375704694e-02 8.461678698903384033e-02 1.424076453944868592e-01 2.031468495435348187e-01 3.059806749027840223e-01
8.000000000000000444e-01 6.625933359273009082e-02 7.453005915515985291e-02 8.804199094959640204e-02 1.471677909061332445e-01 2.087730895268476161e-01 3.124050643272214822e-01
8.100000000000000533e-01 6.897886440676778697e-02 7.756837963381948975e-02 9.151875393462235997e-02 1.519687374909510780e-01 2.144222863848906369e-01 3.188246386528616472e-01
8.200000000000000622e-01 7.174448106214843801e-02 8.065572618208537159e-02 9.504572336034046443e-02 1.568087298831316867e-01 2.200928792501015419e-01 3.252386208570050008e-01
8.300000000000000711e-01 7.455530610928012836e-02 8.379101544731695772e-02 9.862156358132410927e-02 1.616860673557765637e-01 2.257833752661027871e-01 3.316462883258790018e-01
8.400000000000000799e-01 7.741046524078519508e-02 8.697317209816769756e-02 1.022449574561796470e-01 1.665991033105124475e-01 2.314923475413336318e-01 3.380469701390160786e-01
8.499999999999999778e-01 8.030908863592463309e-02 9.020113033513305068e-02 1.059146077180688206e-01 1.715462447323047590e-01 2.372184330937433805e-01 3.444400444667942707e-01
8.599999999999999867e-01 8.325031218228687302e-02 9.347383524566613144e-02 1.096292381643675096e-01 1.765259515264400170e-01 2.429603307956142988e-01 3.508249360774521874e-01
8.699999999999999956e-01 8.623327858193013951e-02 9.679024401382904652e-02 1.133875946790798422e-01 1.815367357531890435e-01 2.487167993264771393e-01 3.572011139499444710e-01
8.800000000000000044e-01 8.925713834895340759e-02 1.001493269940902653e-01 1.171884461009417011e-01 1.865771607743040572e-01 2.544866551410825406e-01 3.635680889890728906e-01
8.900000000000000133e-01 9.232105070523735635e-02 1.035500686584931995e-01 1.210305849494565100e-01 1.916458403242329855e-01 2.602687704584779049e-01 3.699254118393864865e-01
9.000000000000000222e-01 9.542418438084895871e-02 1.069914684260286908e-01 1.249128280204278990e-01 1.967414375177556629e-01 2.660620712774198204e-01 3.762726707944131221e-01
9.100000000000000311e-01 9.856571832534716249e-02 1.104725413826405100e-01 1.288340168618812287e-01 2.018626638046521204e-01 2.718655354226034992e-01 3.826094897978510323e-01
9.200000000000000400e-01 1.017448423359619686e-01 1.139923188998852449e-01 1.327930181406149768e-01 2.070082778810018176e-01 2.776781906255227916e-01 3.889355265334183964e-01
9.300000000000000488e-01 1.049607576083533000e-01 1.175498491598643419e-01 1.367887239089847773e-01 2.121770845657737770e-01 2.834991126431663511e-01 3.952504706001319090e-01
9.400000000000000577e-01 1.082126772153871458e-01 1.211441975936418947e-01 1.408200517809119479e-01 2.173679336505058013e-01 2.893274234172125148e-01 4.015540417698532649e-01
9.500000000000000666e-01 1.114998265190995375e-01 1.247744472399672927e-01 1.448859450255166326e-01 2.225797187290739776e-01 2.951622892758998806e-01 4.078459883240232453e-01
9.600000000000000755e-01 1.148214435207564749e-01 1.284396990307343223e-01 1.489853725862092804e-01 2.278113760138219535e-01 3.010029191803096360e-01 4.141260854665703151e-01
9.699999999999999734e-01 1.181767791536572354e-01 1.321390720092326110e-01 1.531173290325354153e-01 2.330618831436476468e-01 3.068485630164117239e-01 4.203941338100639635e-01
9.799999999999999822e-01 1.215650975230754688e-01 1.358717034868809903e-01 1.572808344515529144e-01 2.383302579890302086e-01 3.126985099338748797e-01 4.266499579322553526e-01
9.899999999999999911e-01 1.249856760974870917e-01 1.396367491437819908e-01 1.614749342850312352e-01 2.436155574584124850e-01 3.185520867323362593e-01 4.328934050002273826e-01
1.000000000000000000e+00 1.284378058549928148e-01 1.434333830780968599e-01 1.656986991183022340e-01 2.489168763098449089e-01 3.244086562955516007e-01 4.391243434594536144e-01
1.010000000000000009e+00 1.319207913886140671e-01 1.472607978089173764e-01 1.699512244261515148e-01 2.542333459713204680e-01 3.302676160736087718e-01 4.453426617851445890e-01
1.020000000000000018e+00 1.354339509739170000e-01 1.511182042369995093e-01 1.742316302807291883e-01 2.595641333728063160e-01 3.361283966131725642e-01 4.515482672933373576e-01
1.030000000000000027e+00 1.389766166022071148e-01 1.550048315674285027e-01 1.785390610260698674e-01 2.649084397925853818e-01 3.419904601355483464e-01 4.577410850092617500e-01
1.040000000000000036e+00 1.425481339823309879e-01 1.589199271980055728e-01 1.828726849234468821e-01 2.702654997201690001e-01 3.478532991621878789e-01 4.639210565905985684e-01
1.050000000000000044e+00 1.461478625139272236e-01 1.628627565768770435e-01 1.872316937714458007e-01 2.756345797377195428e-01 3.537164351871225354e-01 4.700881393033135569e-01
1.060000000000000053e+00 1.497751752347814269e-01 1.668326030326764686e-01 1.916153025043194069e-01 2.810149774216318952e-01 3.595794173956891604e-01 4.762423050478385433e-01
1.070000000000000062e+00 1.534294587447638525e-01 1.708287675802109551e-01 1.960227487718911032e-01 2.864060202656599219e-01 3.654418214288124855e-01 4.823835394334366478e-01
1.080000000000000071e+00 1.571101131086578562e-01 1.748505687044965284e-01 2.004532925039908819e-01 2.918070646267387769e-01 3.713032481920182093e-01 4.885118408986693916e-01
1.090000000000000080e+00 1.608165517400301225e-01 1.788973421257375740e-01 2.049062154621508203e-01 2.972174946944368124e-01 3.771633227082842876e-01 4.946272198759554817e-01
1.100000000000000089e+00 1.645482012681406814e-01 1.829684405476435793e-01 2.093808207810435307e-01 3.026367214847848763e-01 3.830216930137707587e-01 5.007296979982805984e-01
1.110000000000000098e+00 1.683045013897480902e-01 1.870632333912905787e-01 2.138764325019230639e-01 3.080641818590544867e-01 3.888780290954275132e-01 5.068193073461921827e-01
1.120000000000000107e+00 1.720849047075310445e-01 1.911811065165586465e-01 2.183923951001180419e-01 3.134993375679057670e-01 3.947320218694344574e-01 5.128960897332817126e-01
1.130000000000000115e+00 1.758888765567204471e-01 1.953214619330115309e-01 2.229280730084332030e-01 3.189416743211870853e-01 4.005833821994043142e-01 5.189600960284211917e-01
1.140000000000000124e+00 1.797158948214151730e-01 1.994837175019316400e-01 2.274828501381381818e-01 3.243907008835486550e-01 4.064318399532541037e-01 5.250113855130934537e-01
1.150000000000000133e+00 1.835654497419443310e-01 2.036673066310795144e-01 2.320561293990528462e-01 3.298459481959230555e-01 4.122771430976366891e-01 5.310500252722137882e-01
1.160000000000000142e+00 1.874370437145318480e-01 2.078716779636119727e-01 2.366473322200898788e-01 3.353069685228305397e-01 4.181190568288183917e-01 5.370760896169091136e-01
1.169999999999999929e+00 1.913301910844198706e-01 2.120962950624687149e-01 2.412558980714697709e-01 3.407733346253835616e-01 4.239573627388831811e-01 5.430896595377779912e-01
1.179999999999999938e+00 1.952444179335174612e-01 2.163406360914219284e-01 2.458812839896958036e-01 3.462446389597919061e-01 4.297918580161458335e-01 5.490908221872173867e-01
1.189999999999999947e+00 1.991792618635487289e-01 2.206041934938711424e-01 2.505229641062551860e-01 3.517204929011016334e-01 4.356223546786665013e-01 5.550796703894561590e-01
1.199999999999999956e+00 2.031342717756010052e-01 2.248864736703709566e-01 2.551804291809038339e-01 3.572005259918545894e-01 4.414486788397648520e-01 5.610563021769983116e-01
1.209999999999999964e+00 2.071090076468899976e-01 2.291869966557797678e-01 2.598531861402882948e-01 3.626843852152951131e-01 4.472706700044460915e-01 5.670208203522226764e-01
1.219999999999999973e+00 2.111030403054946214e-01 2.335052957968355714e-01 2.645407576225688451e-01 3.681717342927217640e-01 4.530881803956680609e-01 5.729733320729500923e-01
1.229999999999999982e+00 2.151159512037432442e-01 2.378409174308825647e-01 2.692426815286198538e-01 3.736622530045373702e-01 4.589010743093966949e-01 5.789139484608299968e-01
1.239999999999999991e+00 2.191473321908758431e-01 2.421934205663981987e-01 2.739585105803056253e-01 3.791556365345294388e-01 4.647092274974126136e-01 5.848427842314533054e-01
1.250000000000000000e+00 2.231967852855459566e-01 2.465623765659026023e-01 2.786878118862627929e-01 3.846515948368830484e-01 4.705125265768605458e-01 5.907599573451441932e-01
1.260000000000000009e+00 2.272639224486751874e-01 2.509473688317683804e-01 2.834301665155487537e-01 3.901498520254151336e-01 4.763108684655485980e-01 5.966655886774275830e-01
1.270000000000000018e+00 2.313483653571239695e-01 2.553479924953903080e-01 2.881851690794631771e-01 3.956501457844965874e-01 4.821041598420328644e-01 6.025598017082162139e-01
1.280000000000000027e+00 2.354497451785948769e-01 2.597638541101212617e-01 2.929524273217906094e-01 4.011522268011246672e-01 4.878923166295455194e-01 6.084427222287999149e-01
1.290000000000000036e+00 2.395677023481430634e-01 2.641945713483311864e-01 2.977315617176660711e-01 4.066558582175950898e-01 4.936752635028490710e-01 6.143144780657625592e-01
1.300000000000000044e+00 2.437018863466303975e-01 2.686397727028986826e-01 3.025222050812224617e-01 4.121608151042182033e-01 4.994529334171294854e-01 6.201751988209930344e-01
1.310000000000000053e+00 2.478519554814218318e-01 2.730990971934068590e-01 3.073240021821328494e-01 4.176668839515240150e-01 5.052252671580564902e-01 6.260250156269888677e-01
1.320000000000000062e+00 2.520175766695887387e-01 2.775721940772715723e-01 3.121366093711326894e-01 4.231738621813952439e-01 5.109922129121804435e-01 6.318640609166940036e-01
1.330000000000000071e+00 2.561984252238558302e-01 2.820587225660016184e-01 3.169596942145668228e-01 4.286815576765751201e-01 5.167537258568459801e-01 6.376924682071405392e-01
1.340000000000000080e+00 2.603941846414950523e-01 2.865583515467509668e-01 3.217929351379822944e-01 4.341897883279940973e-01 5.225097677688386177e-01 6.435103718962048580e-01
1.350000000000000089e+00 2.646045463963486166e-01 2.910707593093002643e-01 3.266360210787583318e-01 4.396983815993680822e-01 5.282603066510035417e-01 6.493179070718110291e-01
1.360000000000000098e+00 2.688292097341333231e-01 2.955956332785751872e-01 3.314886511477432296e-01 4.452071741085260603e-01 5.340053163760963839e-01 6.551152093329553061e-01
1.370000000000000107e+00 2.730678814711640645e-01 3.001326697527844645e-01 3.363505342998457381e-01 4.507160112249313233e-01 5.397447763471632243e-01 6.609024146219466544e-01
1.380000000000000115e+00 2.773202757966029552e-01 3.046815736472404668e-01 3.412213890135125660e-01 4.562247466828699416e-01 5.454786711737531490e-01 6.666796590672912082e-01
1.390000000000000124e+00 2.815861140783336714e-01 3.092420582439029397e-01 3.461009429790015690e-01 4.617332422097882305e-01 5.512069903633116663e-01 6.724470788366740948e-01
1.400000000000000133e+00 2.858651246725343320e-01 3.138138449466703617e-01 3.509889327953546467e-01 4.672413671692706161e-01 5.569297280271109374e-01 6.782048099995164891e-01
1.410000000000000142e+00 2.901570427370100402e-01 3.183966630424258648e-01 3.558851036759508868e-01 4.727489982181632966e-01 5.626468826001030932e-01 6.839529883986124048e-01
1.419999999999999929e+00 2.944616100483340992e-01 3.229902494678302816e-01 3.607892091625208297e-01 4.782560189773511494e-01 5.683584565741062189e-01 6.896917495303720447e-01
1.429999999999999938e+00 2.987785748228289906e-01 3.275943485818414436e-01 3.657010108474834098e-01 4.837623197157185917e-01 5.740644562437527965e-01 6.954212284332237370e-01
1.439999999999999947e+00 3.031076915414098738e-01 3.322087119439279812e-01 3.706202781044650729e-01 4.892677970468250481e-01 5.797648914646506002e-01 7.011415595837412473e-01
1.449999999999999956e+00 3.074487207783017650e-01 3.368330980979341582e-01 3.755467878268524129e-01 4.947723536378458298e-01 5.854597754232316875e-01 7.068528768000931217e-01
1.459999999999999964e+00 3.118014290336318939e-01 3.414672723615428951e-01 3.804803241742223952e-01 5.002758979303369991e-01 5.911491244177803361e-01 7.125553131524227091e-01
1.469999999999999973e+00 3.161655885698886892e-01 3.461110066212773617e-01 3.854206783264915726e-01 5.057783438723955083e-01 5.968329576501548717e-01 7.182490008797912662e-01
1.479999999999999982e+00 3.205409772522329614e-01 3.507640791329725283e-01 3.903676482456198693e-01 5.112796106617977232e-01 6.025112970277340940e-01 7.239340713133299854e-01
1.489999999999999991e+00 3.249273783926374670e-01 3.554262743276415670e-01 3.953210384447048975e-01 5.167796224997135424e-01 6.081841669751404389e-01 7.296106548052695429e-01
1.500000000000000000e+00 3.293245805978273211e-01 3.600973826226590568e-01 4.002806597642948883e-01 5.222783083546017613e-01 6.138515942553074423e-01 7.352788806635264240e-01
1.510000000000000009e+00 3.337323776209853432e-01 3.647772002381730605e-01 4.052463291557548142e-01 5.277756017359059859e-01 6.195136077994791712e-01 7.409388770915439348e-01
1.520000000000000018e+00 3.381505682171828120e-01 3.694655290186618091e-01 4.102178694715115093e-01 5.332714404771856653e-01 6.251702385457439393e-01 7.465907711331011276e-01
1.530000000000000027e+00 3.425789560024913305e-01 3.741621762595365719e-01 4.151951092620086992e-01 5.387657665283195341e-01 6.308215192857212772e-01 7.522346886218153061e-01
1.540000000000000036e+00 3.470173493167283962e-01 3.788669545387010062e-01 4.201778825792001903e-01 5.442585257564400703e-01 6.364674845190378960e-01 7.578707541350774290e-01
1.550000000000000044e+00 3.514655610897829408e-01 3.835796815529661785e-01 4.251660287864122423e-01 5.497496677552631272e-01 6.421081703152422548e-01 7.634990909521747193e-01
1.560000000000000053e+00 3.559234087114686029e-01 3.883001799592217251e-01 4.301593923744047587e-01 5.552391456624887756e-01 6.477436141828226690e-01 7.691198210163640026e-01
1.570000000000000062e+00 3.603907139048454500e-01 3.930282772202641217e-01 4.351578227834651535e-01 5.607269159849614937e-01 6.533738549450073263e-01 7.747330649006737291e-01
1.580000000000000071e+00 3.648673026029520261e-01 3.977638054551771440e-01 4.401611742313668585e-01 5.662129384312877267e-01 6.589989326220389021e-01 7.803389417772221837e-01
1.590000000000000080e+00 3.693530048288852785e-01 4.025066012941647120e-01 4.451693055470301030e-01 5.716971757516180475e-01 6.646188883196271213e-01 7.859375693898494886e-01
1.600000000000000089e+00 3.738476545791666883e-01 4.072565057377298681e-01 4.501820800097231512e-01 5.771795935843162528e-01 6.702337641233012677e-01 7.915290640298746627e-01
1.610000000000000098e+00 3.783510897103289361e-01 4.120133640201000258e-01 4.551993651936422913e-01 5.826601603092366188e-01 6.758436029983854176e-01 7.971135405147924402e-01
1.620000000000000107e+00 3.828631518286598201e-01 4.167770254767917404e-01 4.602210328177176457e-01 5.881388469073578484e-01 6.814484486953457099e-01 8.026911121697415386e-01
1.630000000000000115e+00 3.873836861830358691e-01 4.215473434162155808e-01 4.652469586004859270e-01 5.936156268265099234e-01 6.870483456602547445e-01 8.082618908115768441e-01
1.640000000000000124e+00 3.919125415607809249e-01 4.263241749952167980e-01 4.702770221198829259e-01 5.990904758529600471e-01 6.926433389501410742e-01 8.138259867353914156e-01
